num_particles,inertia,cognition,social,gen,epoch_stop,solution_found,fitness
40, 0.5, 2.6, 0.9, 11, 136, [1. 3.], 8.06661709319505e-23
40, 0.5, 2.6, 0.9, 12, 119, [1. 3.], 7.583675194386515e-20
40, 0.5, 2.6, 0.9, 13, 110, [1. 3.], 2.0030541400310497e-20
40, 0.5, 2.6, 0.9, 14, 106, [1. 3.], 8.953717930142973e-18
40, 0.5, 2.6, 0.9, 15, 116, [1. 3.], 1.2580884763615993e-20
40, 0.5, 2.6, 0.9, 16, 135, [1. 3.], 1.937126602202445e-23
40, 0.5, 2.6, 0.9, 17, 92, [0.99999999 3.00000001], 1.0665312182180454e-16
40, 0.5, 2.6, 0.9, 18, 124, [1. 3.], 7.595884538110419e-21
40, 0.5, 2.6, 0.9, 19, 103, [1. 3.], 3.101748482214413e-17
40, 0.5, 2.6, 1.0, 0, 112, [1. 3.], 3.6555695384009533e-19
40, 0.5, 2.6, 1.0, 1, 136, [1. 3.], 1.0767673440569902e-22
40, 0.5, 2.6, 1.0, 2, 118, [1. 3.], 4.867223553942353e-20
40, 0.5, 2.6, 1.0, 3, 118, [1. 3.], 3.7483574203684474e-20
40, 0.5, 2.6, 1.0, 4, 129, [1. 3.], 1.16788416424325e-20
40, 0.5, 2.6, 1.0, 5, 108, [1. 3.], 1.2713130835612344e-17
40, 0.5, 2.6, 1.0, 6, 112, [1. 3.], 1.7865977440034706e-17
40, 0.5, 2.6, 1.0, 7, 119, [1. 3.], 2.2624932232340935e-18
40, 0.5, 2.6, 1.0, 8, 111, [1. 3.], 6.125866374354177e-18
40, 0.5, 2.6, 1.0, 9, 127, [1. 3.], 5.31980846992528e-22
40, 0.5, 2.6, 1.0, 10, 118, [1. 3.], 3.4303655011776035e-19
40, 0.5, 2.6, 1.0, 11, 114, [1. 3.], 4.5555019794573525e-20
40, 0.5, 2.6, 1.0, 12, 112, [1. 3.], 4.6452092537958225e-19
40, 0.5, 2.6, 1.0, 13, 124, [1. 3.], 1.349129874629562e-19
40, 0.5, 2.6, 1.0, 14, 116, [1. 3.], 4.2078024078872015e-21
40, 0.5, 2.6, 1.0, 15, 146, [1. 3.], 1.3035115273108381e-22
40, 0.5, 2.6, 1.0, 16, 122, [1. 3.], 1.688260245066495e-21
40, 0.5, 2.6, 1.0, 17, 119, [1. 3.], 9.702413459028556e-21
40, 0.5, 2.6, 1.0, 18, 118, [1. 3.], 8.46616704261235e-20
40, 0.5, 2.6, 1.0, 19, 129, [1. 3.], 1.4519069502815935e-21
40, 0.5, 2.6, 1.1, 0, 130, [1. 3.], 5.615132928599144e-20
40, 0.5, 2.6, 1.1, 1, 115, [1. 3.], 1.4552790991270485e-18
40, 0.5, 2.6, 1.1, 2, 129, [1. 3.], 7.391796299637278e-21
40, 0.5, 2.6, 1.1, 3, 116, [1. 3.], 3.737711217439052e-17
40, 0.5, 2.6, 1.1, 4, 120, [1. 3.], 1.2981854790931475e-18
40, 0.5, 2.6, 1.1, 5, 122, [1. 3.], 1.19848159241945e-18
40, 0.5, 2.6, 1.1, 6, 111, [1. 3.], 2.728002166430868e-20
40, 0.5, 2.6, 1.1, 7, 137, [1. 3.], 4.610375918212618e-22
40, 0.5, 2.6, 1.1, 8, 118, [1. 3.], 2.112201652778718e-18
40, 0.5, 2.6, 1.1, 9, 122, [1. 3.], 2.334585933116885e-19
40, 0.5, 2.6, 1.1, 10, 123, [1. 3.], 5.131075518229501e-20
